
Timestamp,X,Y,Z,Label,Magnitude
1771582166740,-4.5469904,0.5132041,-4.0991197,0,0.5569750904722914
1771582166760,-3.2623966,0.5675955,-3.8801198,0,0.25290002770840314
1771582166780,-3.386098,-0.3127799,0.7025776,0,-0.222234104311828
1771582166801,-1.7496997,0.13514471,1.2385612,0,-0.60858349885269
1771582166821,-3.0987763,1.1278872,3.0212965,0,0.06952150638106613
1771582166841,-0.33174706,-0.08086538,-1.6902075,0,-0.732160094881149
1771582166862,-2.9078012,0.043297768,-3.2595475,0,0.03913252277764682
1771582166882,-1.7502673,-3.2960634,0.02006197,0,-0.14648181454871373
1771582166902,-1.4478464,-1.114284,-0.41734314,0,-0.6884903426244782
1771582166922,-2.0700934,-0.8425889,1.4155188,0,-0.4634260074135276
1771582166942,-1.480954,0.24732399,-0.63941574,0,-0.7591177493546978
1771582166963,-0.441764,0.27401924,0.8139763,0,-0.9534432076384766
1771582166983,-1.1676197,-2.232604,1.6921077,0,-0.34982131989684284
1771582167003,-1.4484297,-1.1676702,0.029799461,0,-0.6923781114332084
1771582167024,-0.3472165,-1.7691998,0.22608232,0,-0.7051129460785646
1771582167044,-2.144352,0.31461906,-0.37031937,0,-0.5937768175465701
1771582167065,-0.09001219,-0.7917161,0.85019827,0,-0.895270305176517
1771582167084,-2.3818197,2.4468718,-2.2893274,0,-0.03588714490751365
1771582167104,-0.0340513,-0.4526825,4.2366853,0,0.007819337780283906
1771582167124,-1.4584019,0.1770153,-0.19642687,0,-0.8028081532734408
1771582167145,-0.22363532,-0.15188122,1.0769153,0,-0.9112857043169653
1771582167166,-2.0195856,-0.4133067,-0.9997425,0,-0.5668340134040539
1771582167186,-2.1636019,-0.17561531,-2.8145156,0,-0.19830383879977853
1771582167206,-0.38370538,-0.3280368,2.9863415,0,-0.35165003941031
1771582167226,-1.405833,0.20670128,0.5953603,0,-0.7857561338530733
1771582167246,-0.460459,-0.31394386,1.9530478,0,-0.6427031317254098
1771582167266,-0.25766683,0.15296602,2.4196525,0,-0.523933396372214
1771582167287,-2.1415114,0.23241138,-0.14471292,0,-0.6053809796271092
1771582167307,1.4504557,-2.742289,1.717504,0,-0.2007575413711871
1771582167327,-3.5223267,2.0153232,-2.4326055,0,0.14505609642014777
1771582167348,0.6143162,-2.0342941,2.5068994,0,-0.27648180432969366
1771582167368,-1.5304809,0.07648897,-2.8497238,0,-0.2912931259393978
1771582167388,-0.84916246,-1.1734319,1.542203,0,-0.6179801194357594
1771582167408,-1.9309174,1.9674273,3.103839,0,-0.024173501268562398
1771582167428,1.114991,-1.6163673,1.6386786,0,-0.4890946399313991
1771582167449,-1.1505433,0.90913486,1.3763566,0,-0.6485017031271328
1771582167469,1.7375042,-1.6710019,-1.1076536,0,-0.4612716794072118
1771582167489,-3.0574062,0.9215274,-7.481509,0,1.13782355975345
1771582167509,0.9464829,-1.3713284,-1.4301915,0,-0.5946097771866242
1771582167530,-1.1792935,3.0878534,5.0498047,0,0.5254720527811614
1771582167550,0.48208284,-0.2816825,1.5103016,0,-0.7654600063468052
1771582167570,0.86190677,-0.61987925,-0.7967062,0,-0.8479734780338596
1771582167591,-1.8451867,2.9874387,-6.228017,0,0.8505274023639776
1771582167611,0.299304,-0.1436863,-1.5326738,0,-0.7777076257314136
1771582167631,-0.36448574,2.4233952,-0.17673826,0,-0.5184256043089739
1771582167651,1.789249,-0.542789,-1.211546,0,-0.5852420977751946
1771582167671,-1.5123417,-0.01551199,-1.6523328,0,-0.5817329108285586
1771582167692,-2.476714,-0.19906235,-0.4454236,0,-0.4987946174321177
1771582167712,1.8793406,-1.0655489,1.6790557,0,-0.4369945592796815
1771582167732,-0.95030844,1.2297688,-3.9563634,0,0.004825391344775507
1771582167753,0.33993793,-0.83650684,-0.8422303,0,-0.874983404163764
1771582167773,-2.9345825,2.8143759,-2.7126145,0,0.1906949015958267
1771582167793,1.2114153,-1.2350521,1.4169116,0,-0.5828475191888087
1771582167813,-1.547672,1.5194788,-1.5833421,0,-0.4518170314124767
1771582167833,1.2855306,-1.2730327,0.83191013,0,-0.6542858249549688
1771582167854,-0.15900064,1.0093861,-0.42474174,0,-0.9123752869039121
1771582167874,0.81943226,-0.4895792,-1.4921632,0,-0.7184480421646484
1771582167894,-1.5155523,0.4646101,-0.89594984,0,-0.7040105811895921
1771582167914,-0.87997246,1.4457102,-0.82805395,0,-0.6855376153343942
1771582167935,1.5949936,-0.12651253,-0.27717352,0,-0.761484237281843
1771582167955,0.35215974,1.3732681,-0.2976818,0,-0.8125984008919364
1771582167975,-0.11701882,0.5934181,0.984385,0,-0.8981492622105296
1771582167995,-0.47719252,0.24597359,-2.1419623,0,-0.5910064274936566
1771582168015,-1.5279211,1.1396904,-2.4209726,0,-0.3363013867294746
1771582168036,-0.44644523,2.2146463,-1.2637038,0,-0.4800358238290423
1771582168056,1.1247859,-0.15710163,1.5126328,0,-0.6833912903795812
1771582168076,-1.4420246,1.6343393,0.33282232,0,-0.5919945346287175
1771582168097,-0.57823455,0.19638443,-1.9386547,0,-0.6422490507141122
1771582168117,-1.9605505,-0.85153913,-1.8115826,0,-0.4178118159123312
1771582168137,0.13191926,1.056593,-1.8126075,0,-0.6219273241891089
1771582168157,0.4166093,-0.22586727,2.023419,0,-0.6289429205439295
1771582168178,0.5711498,-0.29535866,-0.37877464,0,-1.017489610268238
1771582168198,-1.0167862,-0.0075159073,-3.7991185,0,-0.08789473930146867
1771582168218,0.48617786,-1.6771569,-1.8234348,0,-0.4986791530363814
1771582168238,0.6932331,1.5907135,-0.3994503,0,-0.7157546514028303
1771582168259,2.0754757,1.0914602,3.4096885,0,-0.027980151089007317
1771582168280,0.81386685,0.5633764,0.4232793,0,-0.9211424089554004
1771582168299,-0.1559779,-0.4921155,-3.4069366,0,-0.22996692010232814
1771582168319,-1.0617007,0.505126,-4.282982,0,0.06047315272182166
1771582168340,0.810378,-1.4210281,0.42197752,0,-0.7423547309336328
1771582168360,-0.7464949,2.888402,-0.012938499,0,-0.36488642924625514
1771582168381,0.84668785,-0.9469719,1.0971632,0,-0.7455332015535936
1771582168401,-1.3887646,1.8198528,-2.2646754,0,-0.29580570623859104
1771582168421,0.23992375,0.1253624,-2.2577155,0,-0.5718489454216641
1771582168441,-0.17691596,0.129673,-0.13646936,0,-1.1598307637093879
1771582168461,2.1556056,-0.034231186,1.1906662,0,-0.5167319717810794
1771582168482,0.3073581,1.2324266,-0.40719604,0,-0.8460793864362814
1771582168502,-0.10388917,0.5442543,-1.7790504,0,-0.6916154665883897
1771582168522,-0.71400756,0.43876362,-0.90171194,0,-0.8760775943068566
1771582168542,1.2143002,-0.03422451,0.1023345,0,-0.8795586065373906
1771582168562,0.73125607,-0.778759,1.9565239,0,-0.5848944763243704
1771582168583,-0.9703943,1.6552277,-4.314537,0,0.1423031601623182
1771582168603,-0.21589956,-0.7314744,-2.5896628,0,-0.44764869801554874
1771582168623,1.2773756,0.8549881,1.0013967,0,-0.7000201733235374
1771582168643,2.1474032,-1.0000358,4.746231,0,0.31226165235432424
1771582168664,0.011615604,2.676179,0.31353998,0,-0.4491437551987767
1771582168684,1.5590744,0.96896076,-0.79076815,0,-0.6521190065232072
